ID,Categoria,Cedula Funcionario,Nombre Funcionario,Cedula Solicitante,Nombre Solicitante,ID ítem,Nombre,Cantidad Solicitada,Cantidad Entregada,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Dias Transcurridos
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15234,Cita para electrocardiograma,"14,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15489,DOXORUBICINA 50 mg,"16,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15509,ETAMBUTOL 400 mg,"12,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15578,"GLICERINA 2,88 g","15,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15790,QUININA DICLORHIDRATO 300ml,"15,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15813,SALMETEROL 25 mcg,"12,00","0,00",2026,Qtr 4,December,20,,,,,0
91,Utiles escolares,8534934,ZENON,15673471,DAVID DANIEL,15893,VINBLASTINA 10 mg,"11,00","0,00",2026,Qtr 4,December,20,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15277,ALBENDAZOL 10 ml,"19,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15337,BLEOMICINA 15 mg,"18,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15367,CEFTAZIDIMA 1 g,"14,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15383,CIPROFLOXACINA 50 ml,"17,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15414,CLOROQUINA (CLOROQUINA BASE) 50 mg,"17,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15622,IODO POVIDONA (POLIVIDONA IODADA) 8%,"13,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15627,ISOSORBIDA DINITRATO 5 mg,"13,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15727,NIMODIPINA 50ml,"13,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15753,PACLITAXEL CON FILTRO 300 mg,"19,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15801,RISPERIDONA 1 mg,"10,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15828,STAVUDINA 40 mg,"10,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15847,SULFATO FERROSO (HIERRO ELEMENTAL) 125 mg,"14,00","0,00",2026,Qtr 4,November,29,,,,,0
365,Insumos quirúrgicos,8534934,ZENON,16253321,Yina Wu,15946,Prótesis de cartílago articular,"10,00","0,00",2026,Qtr 4,November,29,,,,,0
